bankHoliday,Bundesland
2017-12-25,Germany
2017-12-26,Germany
2020-03-08,Berlin
2020-04-09,Germany
2020-04-10,Germany
2020-04-13,Germany
2020-04-30,Germany
2020-05-01,Germany
2020-05-07,Germany
2020-05-08,Berlin
2020-05-20,Germany
2020-05-21,Germany
2020-05-22,Germany
2020-06-01,Germany
2020-06-11,Baden-Württemberg;Bayern;Hessen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland
2020-08-15,Bayer;Saarland
2020-10-03,Germany
2020-10-31,Brandenburg;Bremen;Hamburg;Mecklenburg-Vorpommern;Niedersachsen;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2020-11-18,Sachsen
2020-12-25,Germany
2020-12-26,Germany
2021-01-01,Germany
2021-01-06,Baden-Württemberg;Bayern;Sachsen-Anhalt
2021-03-08,Berlin
2021-04-02,Germany
2021-04-05,Germany
2021-05-01,Germany
2021-05-13,Germany
2021-05-24,Germany
2021-06-03,Baden-Württemberg;Bayern;Hessen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland
2021-09-20,Thüringen
2021-10-03,Germany
2021-11-01,Baden-Württemberg;Bayern;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland
2021-11-17,Sachsen
2021-12-25,Germany
2021-12-26,Germany